group,taxon_a,taxon_b,factor,density_overlap
orientation,Cirsium heterophyllum,Cirsium parryi,0.75,0.8684512324306808
orientation,Cirsium heterophyllum,Cirsium parryi,1.0,0.8879321235372197
orientation,Cirsium heterophyllum,Cirsium parryi,1.25,0.9019813714507173
orientation,Cirsium heterophyllum,Cirsium texanum,0.75,0.8272215765384001
orientation,Cirsium heterophyllum,Cirsium texanum,1.0,0.8502189033384661
orientation,Cirsium heterophyllum,Cirsium texanum,1.25,0.8704675496019241
orientation,Cirsium japonicum,Cirsium occidentale,0.75,0.781495675632867
orientation,Cirsium japonicum,Cirsium occidentale,1.0,0.8025308829225004
orientation,Cirsium japonicum,Cirsium occidentale,1.25,0.8219730462531281
orientation,Cirsium japonicum,Cirsium scariosum,0.75,0.8387248849489615
orientation,Cirsium japonicum,Cirsium scariosum,1.0,0.8636269677986324
orientation,Cirsium japonicum,Cirsium scariosum,1.25,0.8757417521348505
orientation,Cirsium japonicum,Cirsium spinosissimum,0.75,0.866259229306453
orientation,Cirsium japonicum,Cirsium spinosissimum,1.0,0.8873759405808623
orientation,Cirsium japonicum,Cirsium spinosissimum,1.25,0.8972459027493616
orientation,Cirsium japonicum,Cirsium subcoriaceum,0.75,0.8900349667035972
orientation,Cirsium japonicum,Cirsium subcoriaceum,1.0,0.915961252789213
orientation,Cirsium japonicum,Cirsium subcoriaceum,1.25,0.9368340332224572
orientation,Cirsium kamtschaticum,Cirsium pumilum,0.75,0.7558989743935651
orientation,Cirsium kamtschaticum,Cirsium pumilum,1.0,0.7738096640026388
orientation,Cirsium kamtschaticum,Cirsium pumilum,1.25,0.7805255980970306
orientation,Cirsium mexicanum,Cirsium texanum,0.75,0.8848653053720988
orientation,Cirsium mexicanum,Cirsium texanum,1.0,0.9005779116612215
orientation,Cirsium mexicanum,Cirsium texanum,1.25,0.9137150135016042
orientation,Cirsium neomexicanum,Cirsium occidentale,0.75,0.7658385800881309
orientation,Cirsium neomexicanum,Cirsium occidentale,1.0,0.7897249065240279
orientation,Cirsium neomexicanum,Cirsium occidentale,1.25,0.8166767936935475
orientation,Cirsium neomexicanum,Cirsium palustre,0.75,0.8091786691452898
orientation,Cirsium neomexicanum,Cirsium palustre,1.0,0.8327280397059948
orientation,Cirsium neomexicanum,Cirsium palustre,1.25,0.8540473474655101
orientation,Cirsium neomexicanum,Cirsium rhaphilepis,0.75,0.7695924959093169
orientation,Cirsium neomexicanum,Cirsium rhaphilepis,1.0,0.8065344672807526
orientation,Cirsium neomexicanum,Cirsium rhaphilepis,1.25,0.8283521543879712
orientation,Cirsium nuttallii,Cirsium palustre,0.75,0.8908689321509212
orientation,Cirsium nuttallii,Cirsium palustre,1.0,0.9046498921856729
orientation,Cirsium nuttallii,Cirsium palustre,1.25,0.9116315464816533
orientation,Cirsium obvallatum,Cirsium repandum,0.75,0.8579257479194405
orientation,Cirsium obvallatum,Cirsium repandum,1.0,0.8919751241418578
orientation,Cirsium obvallatum,Cirsium repandum,1.25,0.9117562101001966
orientation,Cirsium occidentale,Cirsium texanum,0.75,0.8502775031676996
orientation,Cirsium occidentale,Cirsium texanum,1.0,0.8682728583583925
orientation,Cirsium occidentale,Cirsium texanum,1.25,0.8814998633478529
orientation,Cirsium occidentale,Cirsium undulatum,0.75,0.8802647483842575
orientation,Cirsium occidentale,Cirsium undulatum,1.0,0.9117395714906802
orientation,Cirsium occidentale,Cirsium undulatum,1.25,0.9303157253356983
orientation,Cirsium oleraceum,Cirsium texanum,0.75,0.8756789671246938
orientation,Cirsium oleraceum,Cirsium texanum,1.0,0.9055562371573571
