obs_id,taxon_name,n_usable_heads,min_dimension_median,sharpness_median,involucre_projection_roughness,involucre_spread_fraction,spine_relative_length_max_proxy,coordinate_precision_tier,env_chelsa_bio01_native,env_chelsa_bio04_native,env_chelsa_bio12_native,env_chelsa_bio15_native,log_min_dimension,log1p_sharpness,resolution_stratum
26087204,Cirsium remotifolium,1,157.0,8560.341865847278,0.0551716575676097,0.1881188118811881,0.1282898787670577,high_le_1km,2832.0,5082.0,2097.0,725.0,5.056245805348308,9.055012216879106,150_199
26272814,Cirsium subuliforme,1,209.0,1083.0724222847932,0.0700057839804343,0.2448979591836734,0.1839848796756079,moderate_1_to_10km,2870.0,1771.0,827.0,828.0,5.342334251964811,6.988479989993712,200_299
26627103,Cirsium acrolepis,2,304.5,1658.1171553917352,0.09075821116324584,0.32021739130434784,0.2008427830944406,high_le_1km,2932.0,3815.0,831.0,681.0,5.718671087149952,7.414040905775306,300_plus
27640746,Cirsium canescens,1,267.0,3734.487138359711,0.0519027905547559,0.253012048192771,0.0920042658385889,unknown,2822.0,8511.0,419.0,647.0,5.58724865840025,8.225633514325926,200_299
27909998,Cirsium lecontei,1,240.0,1945.4014686987584,0.1544400940834542,0.4299065420560747,0.3994857244375687,high_le_1km,2908.0,6300.0,1440.0,295.0,5.480638923341991,7.573737546040935,200_299
27920716,Cirsium roseolum,1,365.0,7561.993668634856,0.0599854460465397,0.15,0.2286863405468739,high_le_1km,2814.0,9561.0,575.0,210.0,5.8998973535824915,8.93102237870572,300_plus
27953835,Cirsium texanum,1,202.0,2411.397593179354,0.0675398933355815,0.2688172043010752,0.1737409399948271,high_le_1km,2955.0,4855.0,762.0,689.0,5.308267697401205,7.788376383889116,200_299
28122427,Cirsium horridulum,1,294.0,2230.865216559908,0.0854984954480991,0.320754716981132,0.2035871622330545,high_le_1km,2938.0,5584.0,2023.0,203.0,5.683579767338681,7.710592934831923,200_299
28244456,Cirsium rhizocephalum,1,333.0,1667.8185063636824,0.0995244949780175,0.3411764705882353,0.1937800331563753,moderate_1_to_10km,2742.0,8150.0,820.0,339.0,5.808142489980444,7.41987117380851,300_plus
28577825,Cirsium vulgare,1,155.0,3273.56289275836,0.2003504699282882,0.4067796610169492,0.4566406108091867,high_le_1km,2873.0,7638.0,699.0,251.0,5.043425116919247,8.093939671301682,150_199
28619918,Cirsium heterophyllum,1,278.0,3532.2834437684974,0.0972443038140821,0.3516483516483517,0.2581029839382285,high_le_1km,2744.0,12565.0,490.0,382.0,5.627621113690637,8.169982871644203,200_299
28624349,Cirsium ukranicum,1,242.0,4440.294543100847,0.0691912944887474,0.2365591397849462,0.1126923167460842,high_le_1km,2806.0,9337.0,598.0,213.0,5.488937726156687,8.398701176691269,200_299
28719936,Cirsium acrolepis,1,207.0,6080.055628645377,0.0525298867235024,0.1684210526315789,0.1482146068090912,moderate_1_to_10km,2904.0,3573.0,841.0,686.0,5.332718793265369,8.712933583021924,200_299
28719937,Cirsium pringlei,2,185.5,2106.3554014044366,0.0812656606279243,0.2548090935587292,0.19257288783779664,high_le_1km,2896.0,3500.0,880.0,684.0,5.22305488204749,7.653189076088894,150_199
28780064,Cirsium edule,1,283.0,2208.34634512057,0.073716395394164,0.2783505154639175,0.1893480895745587,unknown,2767.0,6515.0,2990.0,557.0,5.645446897643238,7.700451979324144,200_299
28807507,Cirsium hookerianum,1,190.0,1159.258530712363,0.1416206973626073,0.4588235294117647,0.2157583400862049,high_le_1km,2738.0,9330.0,900.0,316.0,5.247024072160486,7.056398130572052,150_199
28825377,Cirsium inamoenum,1,190.0,4971.177167119887,0.0781508165716659,0.2117647058823529,0.2505040921281296,high_le_1km,2775.0,8696.0,505.0,393.0,5.247024072160486,8.511613084964365,150_199
