obs_id,taxon_name,latitude,longitude,tdwg_level3_code,resolution_status,accepted_key,accepted_name,native_range_status
131740525,Cirsium acaulon,45.3347174357,0.6650259416,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
130078960,Cirsium acaulon,45.375775,5.7866716667,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
105734572,Cirsium acaulon,45.275569,6.036859,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
126709986,Cirsium acaulon,45.2618828266,6.7273305038,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
266145685,Cirsium acaulon,45.3759634919,6.8345502964,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
58152553,Cirsium acaulon,45.452645,7.01724167,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
224152329,Cirsium acaulon,45.2757999,14.1956945,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
60092430,Cirsium acaulon,45.473456775,17.5596016645,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
54290370,Cirsium acaulon,45.2501559372,22.3666865475,ROM,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
237318633,Cirsium acaulon,45.6836182975,-0.997534655,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
175794035,Cirsium acaulon,45.5911178471,0.1195272803,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
95563905,Cirsium acaulon,45.6527741207,5.9827960359,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
308279643,Cirsium acaulon,45.6246383864,6.2270751803,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
307267435,Cirsium acaulon,45.5110675186,6.6486184672,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
31231668,Cirsium acaulon,45.5726110989,6.7877709646,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
29562308,Cirsium acaulon,45.7228246077,7.1552539497,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
175967190,Cirsium acaulon,45.585392581,7.4269130936,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
131910191,Cirsium acaulon,45.7467314049,9.8077570825,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
317348304,Cirsium acaulon,45.6675674681,10.8218890299,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
350583920,Cirsium acaulon,45.6643624666,13.9894322038,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
86442661,Cirsium acaulon,45.598191319,14.2355658072,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
233466890,Cirsium acaulon,45.86975358,5.40823273,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
