construct_id,tier,kind,predictor,n_taxa,beta_std,effect_magnitude,component_betas,p_value,q_bh,fdr_0_05,scale,module,direction,n_observations,standard_error,ci_low,ci_high,p_method,sampling_composition_stability_class,broad_spatial_sensitivity_pass,historical_placement_sensitivity_pass,robustness_status
presentation_angle,primary,scalar,chelsa_gsp,199,0.0038723934046361,0.0038723934046361,,0.0711669302048906,0.1883830505423576,False,within_taxon,presentation,positive,37196.0,0.0021460708340896,-0.0003338281384513,0.0080786149477237,taxon_clustered_ols,,,,not_fdr_supported
floral_chroma,primary,scalar,chelsa_npp,143,0.2463466831515829,0.2463466831515829,,0.0035,0.0315,True,among_taxon,colour,positive,,,,,,stable_all_declared_scenarios,True,True,full_declared_chain_pass
floral_chroma,primary,scalar,chelsa_npp,203,0.0345788959560092,0.0345788959560092,,0.0259615087483819,0.1229755677554934,False,within_taxon,colour,positive,40460.0,0.0155286046910566,0.0041433900313784,0.06501440188064,taxon_clustered_ols,,,,not_fdr_supported
floral_hue,primary,joint,chelsa_npp,143,,0.3155280587173959,"{""corolla_hue_cos"": -0.03798972163737524, ""corolla_hue_sin"": -0.31323272001482094}",0.0007,0.0105,True,among_taxon,colour,joint_no_single_direction,,,,,,stable_all_declared_scenarios,False,,sensitivity_not_passed
floral_hue,primary,joint,chelsa_npp,203,,0.0457424297985661,"{""corolla_hue_cos"": -0.031054800060754464, ""corolla_hue_sin"": -0.03358525386331503}",0.0001,0.0015,True,within_taxon,colour,joint_no_single_direction,40453.0,,,,within_taxon_predictor_permutation,stable_all_declared_scenarios,False,,sensitivity_not_passed
floral_lightness,primary,scalar,chelsa_npp,143,-0.1575254106060093,0.1575254106060093,,0.0613,0.1902413793103448,False,among_taxon,colour,negative,,,,,,,,,not_fdr_supported
floral_lightness,primary,scalar,chelsa_npp,203,0.0286520670284477,0.0286520670284477,,0.0105694957792496,0.0731734323178825,False,within_taxon,colour,positive,40460.0,0.0112070154784654,0.0066867203164726,0.0506174137404229,taxon_clustered_ols,,,,not_fdr_supported
head_compactness,primary,scalar,chelsa_npp,141,-0.1184669962803601,0.1184669962803601,,0.1646,0.3292,False,among_taxon,head_form,negative,,,,,,,,,not_fdr_supported
head_compactness,primary,scalar,chelsa_npp,200,0.0013531402355942,0.0013531402355942,,0.8837323345298802,0.9987,False,within_taxon,head_form,positive,38458.0,0.0092529060630278,-0.0167822224002726,0.019488502871461,taxon_clustered_ols,,,,not_fdr_supported
head_elongation,primary,scalar,chelsa_npp,141,0.1417766379197098,0.1417766379197098,,0.0944,0.2498823529411764,False,among_taxon,head_form,positive,,,,,,,,,not_fdr_supported
head_elongation,primary,scalar,chelsa_npp,200,-0.0088226913114656,0.0088226913114656,,0.0704007836548489,0.1883830505423576,False,within_taxon,head_form,negative,38458.0,0.0048762380241155,-0.0183799422187768,0.0007345595958454,taxon_clustered_ols,,,,not_fdr_supported
involucre_form,candidate,joint,chelsa_npp,44,,0.2322193127922703,"{""involucre_apical_taper_ratio"": -0.12121686567216937, ""involucre_basal_taper_ratio"": 0.18194321726913626, ""involucre_length_width_ratio"": -0.07828758777791928}",0.5294,0.6403199999999999,False,among_taxon,involucre,joint_no_single_direction,,,,,,,,,not_fdr_supported
involucre_form,candidate,joint,chelsa_npp,78,,0.0688501271825585,"{""involucre_apical_taper_ratio"": -0.0329192572821283, ""involucre_basal_taper_ratio"": -0.05583993088922134, ""involucre_length_width_ratio"": -0.023206995310348057}",0.0151,0.0906,False,within_taxon,involucre,joint_no_single_direction,2277.0,,,,within_taxon_predictor_permutation,,,,not_fdr_supported
projection_pattern,candidate,joint,chelsa_npp,44,,0.3614365157983701,"{""bract_projection_asymmetry"": 0.26457403639939536, ""bract_projection_peak_density"": 0.24624567857283683}",0.0574,0.1902413793103448,False,among_taxon,involucre,joint_no_single_direction,,,,,,,,,not_fdr_supported
projection_pattern,candidate,joint,chelsa_npp,78,,0.00377972296757,"{""bract_projection_asymmetry"": -0.0020434179652431645, ""bract_projection_peak_density"": 0.0031797403558934934}",0.9851,0.9987,False,within_taxon,involucre,joint_no_single_direction,2277.0,,,,within_taxon_predictor_permutation,,,,not_fdr_supported
